"personLabel"
"Henry Hellyer"
"William John Gill"
"Edward Alphonso Goldman"
"Edward Arthur Maund"
"Edward Fitzgerald Beale"
"E. H. Harriman"
"Edward L. Beach, Jr."
"Edward Young"
"Konstantin Reitz"
"Max von Stetten"
"Frederick Selous"
"Paul-Émile Victor"
"Robert Desmond Meikle"
"Jan Rijp"
"Vladimir Leontyevich Komarov"
"Naomi Uemura"
"Yevgeniy Abalakov"
"Julius Maternus"
"Elisha Kent Kane"
"Elizabeth Taylor"
"Elizabeth Raleigh"
"Elizabeth van der Woude"
"Ranulph Fiennes"
"Elmer Ottis Wooton"
"Nuño de Guzmán"
"William Robert Broughton"
"George Grenfell"
"Frederik Liebmann"
"William Marsden"
"Emil von Wohlgemuth"
"Émile Deville"
"Marcel Ichac"
"Ippolito Desideri"
"William Smith"
"Emmanuel Liais"
"Jan Carstenszoon"
"Thomas Button"
"Jean du Casse"
"Vittorio Sella"
"George Murray Levick"
"Knut Frænkel"
"Simon Fraser"
"Josiah Edward Spurr"
"William Ford"
"Enrique Stanko Vráz"
"Jean Jacques Dozy"
"Francisco Álvares"
"Jean-Baptiste Bory de Saint-Vincent"
"Ignatius Knoblecher"
"William Henry Ashley"
"Jonathan Carver"
"Mikhail Somov"
"Rudolf Samoylovich"
"Wally Herbert"
"Skalla-Grímr"
"Jean-Michel Huon de Kermadec"
"Joseph-René Bellot"
"Willem van der Haegen or Willem De Kersemakere"
"Richard Spruce"
"John Anderson"
"Henry Ogg Forbes"
"Juan Bautista Pastene"
"Alonso de Arellano"
"Pedro Mariño de Lobera"
"William George Browne"
"James Augustus Grant"
"Lourenço Marques"
"Torstein Raaby"
"Isidore of Charax"
"Joseph Thomson"
"Eric Earle Shipton"
"Filippo de Filippi"
"João de Castro"
"Valentine Baker"
"García Hurtado de Mendoza, 5th Marquis of Cañete"
"Martín Ruiz de Gamboa"
"Hugo Grothe"
"Johan Hampus Furuhjelm"
"Edward Sabine"
"Túpac Inca Yupanqui"
"George Mallory"
"John Davis"
"Steve Fossett"
"Christopher McCandless"
"Christopher Eccleston"
"Nicholas Miklouho-Maclay"
"Megasthenes"
"Juan Díaz de Solís"
"Vicente Yáñez Pinzón"
"Knud Rasmussen"
"Faxian"
"Diogo Cão"
"Aurel Stein"
"Álvaro de Mendaña de Neira"
"Alonso de Ojeda"
"Meriwether Lewis"
"Pedro Fernandes de Queirós"
"William Adams"
"Egill Skallagrímsson"
"Giovanni da Pian del Carpine"
"Jacques Piccard"
"James Dwight Dana"
"Thomas Harriot"
"Gan Ying"
"Bernal Díaz del Castillo"
"Stepan Makarov"
"Michel Adanson"
"Guillaume de Rubrouck"
"Yaqut al-Hamawi"
"Willem Schouten"
"Daniel Boone"
"Andrés de Urdaneta"
"Lawrence Oates"
"René Lesson"
"Vladimir Arsenyev"
"Avvakum"
"Miguel López de Legazpi"
"Benjamin of Tudela"
"Vasily Dokuchaev"
"Alexander Mackenzie"
"Pierre Savorgnan de Brazza"
"Edward Whymper"
"Nearchus"
"Vladimir Wiese"
"Prince Luigi Amedeo, Duke of the Abruzzi"
"Truman C. Everts"
"Pellegrino Matteucci"
"Ernest François Cambier"
"Frank Kingdon-Ward"
"Panayotis Potagos"
"Victor Wolfgang von Hagen"
"Hannu"
"Guillaume Lejean"
"Peter Taylor"
"John Webber"
"Hans Christian Lyngbye"
"Jiří Baum"
"Androsthenes of Thasos"
"Karl von Ditmar"
"Norman D. Vaughan"
"Harry Yount"
"Arthur Blessitt"
"Leonhard Seppala"
"Arnold Henry Savage Landor"
"Paul Siple"
"Romolo Gessi"
"William Kennedy"
"James William Abert"
"Patrick Logan"
"Edmund Kennedy"
"Benjamin Leigh Smith"
"Edwin De Haven"
"George Simpson"
"Pyotr Semyonov-Tyan-Shansky"
"Tenjiku Tokubei"
"George Drouillard"
"Jean Baptiste Charbonneau"
"Augustin Gattinger"
"Robert Sterling Clark"
"Bernhard von Breydenbach"
"Victor Guérin"
"Simon Reeve"
"Hernando de Lerma"
"Thomas Brunner"
"William Penny"
"Burton Holmes"
"Abraham Bristow"
"Dougal Haston"
"Gregor MacGregor"
"Bradford Washburn"
"Sebastián de Belalcázar"
"Väinö Auer"
"Mark Sykes"
"Nikolai Rezanov"
"Ambrogio Fogar"
"Leo Africanus"
"Douglas Douglas-Hamilton, 14th Duke of Hamilton"
"Semyon Dezhnyov"
"Andor Széchenyi"
"Ed Schieffelin"
"Edward Felix Norton"
"Henri Frankfort"
"Frank Hurley"
"Ishtori Haparchi"
"Louis Maurice Adolphe Linant de Bellefonds"
"Juan Fernández"
"Jacques La Ramee"
"Cândido Rondon"
"Patrocles"
"Hans Kammerlander"
"Pieter Dirkszoon Keyser"
"García López de Cárdenas"
"Julius Popper"
"Frank Smythe"
"Gregory Blaxland"
"Olivier van Noort"
"Edward Daniel Clarke"
"Henri Duveyrier"
"Alberto Vojtěch Frič"
"William Charles Wentworth"
"Oleg Novitskiy"
"Diego de Lepe"
"Jean Louis Marie Poiret"
"Giosafat Barbaro"
"Frédéric Cailliaud"
"Gennady Olonkin"
"Trifon Korobeynikov"
"Marek Kamiński"
"Vasily Chichagov"
"Semyon Remezov"
"Francis Leopold McClintock"
"William Scoresby"
"Joseph Solomon Delmedigo"
"Charles R. Bentley"
"Prince Ferdinand, Duke of Montpensier"
"Julian Tenison Woods"
"Pierre Gaultier de Varennes, sieur de La Vérendrye"
"John Wesley Hillman"
"Sebald de Weert"
"George Samuel Perrottet"
"William Keeling"
"Frederick Marshman Bailey"
"William Hovell"
"Boyd Alexander"
"Sergei Revin"
"Valerian Albanov"
"Gregory Deyermenjian"
"Melchor Bravo de Saravia"
"Macgregor Laird"
"Matthew Henson"
"Gunnar Jarring"
"Juan José Pérez Hernández"
"Johan Lange"
"Jordanus"
"Pedro Alonso Niño"
"Jack Swilling"
"Edgar Evans"
"Hendrick Christiaensen"
"François Valentijn"
"Afonso de Paiva"
"Charles Montagu Doughty"
"Pierre-Jean De Smet"
"Nicolas Hulot"
"Alain Chartier"
"Piet Retief"
"Vassili Poyarkov"
"Simon van der Stel"
"Jacques Balmat"
"Gerrit de Veer"
"Pyotr Anjou"
"Thomas Roe"
"Tróndur í Gøtu"
"Reijnjer van Tzum"
"Michael Perham"
"Thomas Moran"
"Náttfari"
"William John Bankes"
"Anthony Llewellyn"
"David Abeel"
"Franz Hutter"
"Mạc Cửu"
"Jakob Erhardt"
"Lajos Fischer"
"Townshend Stith Brandegee"
"William Henry Holmes"
"Børge Ousland"
"Michael Rockefeller"
"Robert McClure"
"Lucas Vázquez de Ayllón"
"Jorge de Menezes"
"Ion James Muirhead Williams"
"Emile Francqui"
"Carl Bock"
"Carl Rathjens"
"Carl Fredric Adler"
"Charles Waterton"
"Jean L'Archevêque"
"Robert Clauß"
"Eigil Knuth"
"Pêro de Alenquer"
"Oakes Ames"
"Yuly Shokalsky"
"Isaac Israel Hayes"
"Ralph Fitch"
"Ivan Rebrov"
"Jacques Gouin de Beauchêne"
"Jacques Suzanne"
"Yakov Gakkel"
"James Adair"
"James Elton"
"Jan Jacobszoon May van Schellinkhout"
"Jaroslav Mareš"
"Jason Lewis"
"Jean-Baptiste Leschenault de La Tour"
"Jean-François-Marie de Surville"
"Jesse Martin"
"Richard Payer"
"Johan Adrian Jacobsen"
"Johan Reinhard"
"Otto Kraul"
"Johann Haller"
"João Bermudes"
"Johann Schiltberger"
"John Veatch"
"John Atherton"
"John Bidwell"
"John Duncan"
"John Gilbert"
"John Gore"
"Liver-Eating Johnson"
"John King"
"John Kirk"
"John Lander"
"John Lort Stokes"
"John Macdonald Kinneir"
"John Meares"
"John Muir"
"John Phillips"
"John Septimus Roe"
"Samuel Marsden"
"John Wood"
"Nicolau Coelho"
"Jonas Jonsson Stadling"
"José Andía Varela"
"Juan Cano de Saavedra"
"Jørgen Brønlund"
"Juan Ladrillero"
"Juan Gaetano"
"Yuri Lisyansky"
"William Paterson"
"William Hunter Workman"
"Richard Charles Mayne"
"Tupaia"
"Karl Heinrich Mertens"
"Karl Helbig"
"Charles John Andersson"
"Robert Haswell"
"Ui-te-Rangiora"
"Roberto Ivens"
"Louis de la Corne, Chevalier de la Corne"
"François Dollier de Casson"
"Sauvolle de La Villantry"
"Percy Wyn-Harris"
"Thomas Joseph Hutchinson"
"Robert Dudley"
"Gaetano Casati"
"Hans Wilhelmsson Ahlmann"
"Obadiah Bush"
"Samuel Balto"
"Thorstein Eiriksson"
"Olaf Haraldsson Geirstadalf"
"Šimon"
"Finn Arnesson"
"Raud the Strong"
"Amyr Klink"
"Fernão Dias"
"Domingos Jorge Velho"
"Kupe"
"Kurbat Ivanov"
"Eyvind Lambi"
"Kurt Wegener"
"Michel Vieuchange"
"Jens Bjerre"
"Lars Monsen"
"Lang Hancock"
"Laurens Bicker"
"Lawrence Wager"
"Andrés López de Galarza"
"Finn Lützow-Holm"
"Len Beadell"
"Thomas Bernard Croat"
"Simon de Cordes"
"Krishna Singh"
"William Gifford Palgrave"
"Christer Boucht"
"Saswitha"
"Dixie Dansercoer"
"Abraham Cabeliau"
"Abacuk Pricket"
"Abel Aubert Dupetit Thouars"
"Abraham Duquesne-Guitton"
"Arvid Adolf Etholén"
"Adolphe Combanaire"
"Adolphe de Macar"
"Ahmed Hassanein"
"Aimé-François Legendre"
"Aimé Olivier de Sanderval"
"Alain Gheerbrant"
