"personLabel"
"Annemarie Schwarzenbach"
"Merkury Vagin"
"Eduard Imhof"
"Alexandre Yersin"
"Johann Menge"
"Richard Parkinson"
"Hans von Ramsay"
"Josua Zweifel"
"Heinrich Zollinger"
"John Sutter"
"Titus Tobler"
"Hans Schinz"
"Max Buchner"
"Xavier Mertz"
"Toni Hagen"
"Richard Francis Burton"
"John Hanning Speke"
"Otto Kersten"
"Alfred de Quervain"
"Karl Moritz von Beurmann"
"Richard Brenner"
"Hans Ruser"
"Steve Irwin"
"Gottlieb Wilhelm Leitner"
"Vitus Bering"
"Herbert Ponting"
"Dinis Dias"
"Jackey Jackey"
"Andrew Ellicott"
"Henry Robertson Bowers"
"Bartolomeu Dias"
"Jules Harmand"
"Grigory Shelikhov"
"Willem Barents"
"Thor Heyerdahl"
"Ferdinand von Wrangel"
"Vasily Golovnin"
"Thorfinn Karlsefni"
"Zac Sunderland"
"Sebastián Vizcaíno"
"Georg August Wallin"
"Salomon Müller"
"Duke John Albert of Mecklenburg"
"Samuel Gottlieb Gmelin"
"Nikolaus Federmann"
"Eduard Friedrich Poeppig"
"Hans Staden"
"Laura Dekker"
"Hermann, Fürst von Pückler-Muskau"
"Theodor von Heuglin"
"Robert Hermann Schomburgk"
"Wilhelm Hemprich"
"Gustav Hartlaub"
"Gustav Karl Wilhelm Hermann Karsten"
"Gustav Radde"
"Grigory Langsdorff"
"Ambrosius Ehinger"
"Heinrich von Kittlitz"
"Alexander Keyserling"
"Erich von Drygalski"
"Georg August Schweinfurth"
"Friedrich Gerhard Rohlfs"
"Karl Mauch"
"Victor Jacquemont"
"Ernst Schäfer"
"Georg Marcgrave"
"Charles Henry of Nassau-Siegen"
"Gustav Fischer"
"Johannes Rebmann"
"Berthold Carl Seemann"
"François Pollen"
"Carl Troll"
"Eduard Vogel"
"Albert Grünwedel"
"Alexander Bunge"
"Karl Klaus von der Decken"
"Georg von Speyer"
"Paul Güssfeldt"
"Paul Pogge"
"Carl Ferdinand Appun"
"Ferdinand Deppe"
"Gustav Frederik Holm"
"Curt von François"
"Zacharias Wagenaer"
"Leonhard Rauwolf"
"Friedrich August Marschall von Bieberstein"
"Gustav Adolf von Götzen"
"Philipp von Hutten"
"Teoberto Maler"
"Hans Fruhstorfer"
"Werner Janensch"
"Adolf Schlagintweit"
"Wilhelm Junker"
"Karl von den Steinen"
"Wilhelm Sievers"
"Georg von Neumayer"
"Adolf Overweg"
"Gregor von Helmersen"
"Robert Hartmann"
"Bruno Beger"
"Samuel dude"
"Justus Carl Hasskarl"
"Moritz Wagner"
"Hermann von Rosenberg"
"Wilhelm Reiss"
"Gunther Plüschow"
"Friedrich Hornemann"
"Carlo von Erlanger"
"Andreas Heckmair"
"Heinz Stücke"
"Günter Dyhrenfurth"
"Hans Meyer"
"Eduard Dallmann"
"Richard Böhm"
"Gerard Krefft"
"Albert von Le Coq"
"Reinhold Conrad Muschler"
"Carl Koldewey"
"Pêro Escobar"
"Ulrich Schmidl"
"João de Santarém"
"Alfred Ritscher"
"Eduard Robert Flegel"
"Ernst Heinrich Georg Ule"
"Carl Adolf Georg Lauterbach"
"Georg Wilhelm Schimper"
"Ernst Dieffenbach"
"Kurt von Morgen"
"Lady Hester Stanhope"
"Masabumi Hosono"
"Emil Riebeck"
"Alfred Merz"
"Hans Pothorst"
"Eduard Mohr"
"Wilhelm Hübbe Schleiden"
"Carl Heinrich Merck"
"Kalv Arnesson"
"Johann Maria Hildebrandt"
"Gottfried Merzbacher"
"Robert Christian Avé-Lallemant"
"Richard Kandt"
"Kurt Dinter"
"Alfred Wegener"
"Friedrich Gottlieb Bartling"
"Adam Olearius"
"Christian Gottfried Ehrenberg"
"Gerhard Friedrich Müller"
"Philip Johan von Strahlenberg"
"Fabian Gottlieb von Bellingshausen"
"Ferdinand von Richthofen"
"George Grey"
"Amalie Dietrich"
"Julius Klaproth"
"Carl Sigismund Kunth"
"Carl Friedrich Philipp von Martius"
"Erich Werdermann"
"Philipp Franz von Siebold"
"Oscar Rudolph Neumann"
"Adolf Lüderitz"
"Johann Ludwig Krapf"
"Hermann Wissmann"
"Carl Peters"
"Johann Gottlieb Georgi"
"Eduard Friedrich Eversmann"
"Didrik Pining"
"Hermann Detzner"
"Theodor Wolf"
"Clemens Denhardt"
"Arved Fuchs"
"Heinrich von Maltzan, Baron zu Wartenburg und Penzlin"
"Franz Steindachner"
"Sámuel Teleki"
"Friedrich Welwitsch"
"Johann Natterer"
"Ferdinand Stoliczka"
"Joseph Rock"
"Emil Holub"
"Franz de Paula Adam von Waldstein"
"Ida Laura Pfeiffer"
"Franz Sieber"
"Ferdinand Bauer"
"Oscar Baumann"
"Ernst von Hesse-Wartegg"
"Oskar Lenz"
"Count Johann Nepomuk Wilczek"
"Thaddäus Haenke"
"Benedikt Roezl"
"Heinrich Wawra von Fernsee"
"Martin Frobisher"
"Tenzing Norgay"
"Tristão da Cunha"
"Jacques Cousteau"
"Paulo da Gama"
"Heinrich Harrer"
"Nikolaus Joseph von Jacquin"
"Felix Philipp Kanitz"
"Karl Andreas Geyer"
"Martin Gusinde"
"Tyrker"
"Emil Körneta"
"Richard Buchta"
"John Cabot"
"Franz Boos"
"Hermann Schlagintweit"
"Emil Johann Lambert Heinricher"
"Karl Ludwig Philipp Zeyher"
"Karl Rechinger"
"Reinhard Maack"
"Karl Ludwig Giesecke"
"Rudolf Carl von Slatin"
"Ludwig von Höhnel"
"Ernst Marno"
"Eduard Glaser"
"Rudolf Pöch"
"Friedrich Bohndorff"
"Joseph von Hammer-Purgstall"
"John Stanislaw Kubary"
"Theodore Illion"
"Rudolf Grauer"
"Virgil von Helmreichen zu Brunnfeld"
"Hans Tappenbeck"
"William Blandowski"
"Leopold Ambronn"
"Hans Schomburgk"
"Herman Soyaux"
"Theodor Lerner"
"Gottlob Krause"
"Maurice Benyovszky"
"Bernhard von Wüllerstorf-Urbair"
"Mathias Rebitsch"
"Robert Schlagintweit"
"Joachim von Pfeil"
"Richard Kund"
"Albrecht Roscher"
"Paul Reichard"
"Eugen Zintgraff"
"Hugo Zöller"
"Ernst Vanhöffen"
"Arnold Schultze"
"Hermann Steudner"
"Erling Kagge"
"Ernest Favenc"
"Ernest Henry Wilson"
"Ernest Joyce"
"Toussaint Charbonneau"
"Ernesto Sánchez La Cruz"
"Joseph Tyrrell"
"Richard Lemon Lander"
"Jacques l'Hermite"
"John Colter"
"Pêro Vaz de Caminha"
"Giovanni de' Marignolli"
"Thomas Fitzpatrick"
"Sydney Possuelo"
"Erwin von Bary"
"Franz Engel"
"Fernão de Loronha"
"Henri Coudreau"
"Jean Nicolet"
"Henry Foster"
"Juan de Esquivel"
"Manuel Iradier y Bulfy"
"Xu Xiake"
"Alonso Fernández de Lugo"
"Albert Kellogg"
"Henry Seebohm"
"Thomas James"
"Juan González de Mendoza"
"Estevanico"
"Robin Knox-Johnston"
"Joris van Spilbergen"
"Alonso de Alvarado"
"Eugène Mage"
"Eugène de Pruyssenaere"
"Gonzalo de Sandoval"
"James Beckwourth"
"Jean-Michel Cousteau"
"Jameson Adams"
"Hernando Arias de Saavedra"
"Sebastián de Ocampo"
"Melchor Díaz"
"Grigori Nelyubov"
"Grigory Potanin"
"Pyotr Kozlov"
"Pierre Amédée Jaubert"
"William Henry Harvey"
"Harry McNish"
"John Clipperton"
"William Trelease"
"Pedro de Ursúa"
"Francisco de Ibarra"
"Evelyn Briggs Baldwin"
"Jørgen Stubberud"
"Jean Raspail"
"Georgy Ushakov"
"Luigi D'Albertis"
"Orazio Antinori"
"Horace Tabor"
"Vladimir Rusanov"
"Nils Strindberg"
"Vasili Pronchishchev"
"Pierre-François Bouchard"
"Roman Ghirshman"
"Thomas Manning"
"Hippalus"
"Lars Christensen"
"John Balleny"
"Michael Martin"
"Mike Horn"
"Ferdynand Antoni Ossendowski"
"Yuri Senkevich"
"William John Wills"
"Salvador Fidalgo"
"Alexander Henry the elder"
"Nain Singh Rawat"
"Andreas Johan Sjögren"
"Pierre-Médard Diard"
"Eugène Maizan"
"William John Burchell"
"Fernão Lopes de Castanheda"
"Nikolai Zarudny"
"Joseph Billings"
"Martín Fernández de Enciso"
"Nikolai Yadrintsev"
"Hendrikus Albertus Lorentz"
"Richard Collinson"
"Peter Warburton"
"Károly Újfalvy von Mezőkövesd"
"John Lawson Stoddard"
"Ferdinand Columbus"
"Frederick Tuckett"
"William Loftus"
"Richard Archbold"
"Filippo Sassetti"
"William Lincoln Bakewell"
"Nuno da Cunha"
"William D’Arcy"
"Tommy Windich"
"Héder Viczay"
"Martín Ignacio de Loyola"
"Bernhard Eunom Philippi"
"George Everest"
"Richard Trevithick"
"Mungo Park"
"Matthew Flinders"
"Grímur Kamban"
"William Dampier"
"Frank Ludlow"
"Julius von Payer"
"Charles Green"
"William Lashly"
"Ernest Giles"
"Zuane Pizzigano"
"John Smith"
"Alexandra David-Néel"
"Gertrude Bell"
"Matteo Ricci"
"Junko Tabei"
"Oh Eun-Sun"
"Lady Mary Wortley Montagu"
"Mary Kingsley"
"Calamity Jane"
"Hiram Bingham III"
"Sacagawea"
"Riccoldo da Monte di Croce"
"Edme-François Jomard"
"Jakob Roggeveen"
"Hasekura Tsunenaga"
"Paul Amédée Ludovic Savatier"
"Fahrettin Çiloğlu"
"May French Sheldon"
"Maarten Gerritsz Vries"
"William Lawson"
"Álvar Núñez Cabeza de Vaca"
"James W. Marshall"
"Charles Preuss"
"Alexandrine Petronella Francisca Tinne"
"Frederick de Houtman"
"Alberto Maria De Agostini"
"Alexei Pavlovich Fedchenko"
"Evgeny Tarelkin"
"Ellen MacArthur"
"Inés Suárez"
"Robert J. Flaherty"
"Wiley Post"
"Jessica Watson"
"Roy Chapman Andrews"
"Michał Boym"
"Karl Edvard Laman"
"Ahmad ibn Rustah"
"Dan Byles"
"Helena Roerich"
"Marianne North"
"George Curzon, 1st Marquess Curzon of Kedleston"
"Isabelle Eberhardt"
"Vázquez de Coronado"
"Édouard-Raoul Brygoo"
