"personLabel"
"Duke Paul Wilhelm of Württemberg"
"Evliya Çelebi"
"Pedro de Valdivia"
"Harald III of Norway"
"Afonso de Albuquerque"
"George Forrest"
"Jules Dumont d'Urville"
"Pedro Sarmiento de Gamboa"
"George Vancouver"
"Thomas Mackenzie"
"Diego de Almagro"
"Francisco de Orellana"
"Brendan the Navigator"
"Nicholas Roerich"
"Ingólfr Arnarson"
"Richard E. Byrd"
"Auguste Piccard"
"Pedro de Alvarado"
"Johann Reinhold Forster"
"Robert FitzRoy"
"Eric Bloodaxe"
"Julius von Haast"
"Hermann Eberhard"
"Otto Ehrenfried Ehlers"
"David Tennant"
"Hansjoachim von der Esch"
"Heinrich von Staden"
"Nikolai Vavilov"
"Charles Rasp"
"Ulrich Jasper Seetzen"
"August Kappler"
"Alfred Tetens"
"Emil Trinkler"
"Adam Brand"
"Ludwig Kohl-Larsen"
"Balduin Möllhausen"
"Wolfgang Jöhling"
"Herbert Schröder-Stranz"
"Karl Friedrich Behrens"
"Albert von Sack"
"Curt von Hagen"
"Robert Falcon Scott"
"Ferdinand Gottlieb von Gmelin"
"Richard Büttner"
"Siegfried Passarge"
"Richard Schomburgk"
"C. E. A. Wichmann"
"Fedor Jagor"
"Victor von Plessen"
"Franz Stuhlmann"
"Theodor Bartus"
"Alexander von Danckelman"
"Peter Kolbe"
"Bernhard Hantzsch"
"Carl Hugo Hahn"
"Elias Hesse"
"Georg von Prittwitz und Gaffron"
"Johannes Roth"
"Hermann Burchardt"
"Ludwig Becker"
"Theodor Kotschy"
"Philipp Paulitschke"
"Karl von Scherzer"
"Thomas Baines"
"Alfons Gabriel"
"Walter Rausch"
"Otto Schulz-Kampfhenkel"
"Felix von Luschan"
"Fray Tomás de Berlanga"
"Werner Munzinger"
"Jorge Claraz"
"Georg von Schleinitz"
"Peter Skene Ogden"
"Curt Newport"
"Jacques Arago"
"François Beaulieu II"
"Nikolay Urvantsev"
"Heinrich Lienhard"
"Charles Wilkes"
"Jørgen Jørgensen"
"Helge Ingstad"
"Wilhelm Joest"
"Hermann von Wissmann"
"Carl von Gravenreuth"
"John Scolvus"
"Arnold Heim"
"Charles Chaillé-Long"
"Christoph Baumer"
"Johann Jakob von Tschudi"
"Annemarie Schwarzenbach"
"Merkury Vagin"
"Eduard Imhof"
"Alexandre Yersin"
"Johann Menge"
"Richard Parkinson"
"Hans von Ramsay"
"Josua Zweifel"
"Heinrich Zollinger"
"John Sutter"
"Titus Tobler"
"Hans Schinz"
"Max Buchner"
"Xavier Mertz"
"Toni Hagen"
"Richard Francis Burton"
"John Hanning Speke"
"Otto Kersten"
"Alfred de Quervain"
